3	    -4.59772       5.25434       0.36262       3.77096       14.3516  300
4	    -5.17221        5.9777      0.403135       3.69547        13.819  400
5	    -4.81855       5.76923      0.241743       3.73144       13.9821  500
6	    -4.89176        5.3112      0.192615       3.69773       13.7103  600
7	    -5.06372       5.28356      0.186209       3.63909       13.2776  700
8	    -5.23852       5.47229      0.118776       3.63838        13.252  800
9	    -4.79102       5.37874      0.162322       3.54493       12.5929  900
10	    -5.14817       5.22227     0.0952603       3.56014       12.6837  1000
11	    -4.89148       5.03279      0.154251       3.45196       11.9398  1100
12	    -4.94891       5.10925     0.0850786       3.47869       12.1085  1200
13	     -4.7263       5.08217      0.154651          3.37       11.3808  1300
14	    -4.87655       5.00569     0.0852893       3.40264       11.5853  1400
15	    -4.68193       4.87194      0.155822       3.29951        10.911  1500
16	    -4.75692       4.92009     0.0908259       3.33032       11.0993  1600
17	    -4.58622       4.85626      0.156937       3.24653       10.5646  1700
18	    -4.68863       4.84115     0.0955309       3.28294       10.7868  1800
19	    -4.59321       4.85775      0.159111       3.20153       10.2751  1900
20	    -4.64139       4.75341      0.100037       3.23798       10.4946  2000
21	    -4.49224       4.74316      0.159137       3.16732       10.0572  2100
22	    -4.67036       4.76064      0.108165        3.1929       10.2063  2200
23	    -4.45486         4.735      0.156372       3.14052       9.88729  2300
24	    -4.44949       4.72706      0.114347       3.16111       10.0057  2400
25	    -4.54914       4.74842      0.154148       3.12133       9.76649  2500
26	     -4.4125       4.69294      0.120313        3.1311       9.81825  2600
27	    -4.46731       4.71766      0.152801       3.09758       9.61835  2700
28	    -4.43795        4.7168       0.12241        3.1083       9.67653  2800
29	    -4.51446       4.69146      0.149479       3.08065       9.51277  2900
30	    -4.42088       4.67798      0.126831       3.08974       9.56258  3000
