3	    -8.64987       4.71235    -0.0139115       5.75138       33.0785  300
4	       -5.47       5.70947    -0.0120855       4.79334       22.9762  400
5	    -6.17328       5.42148   -0.00973315       4.17704       17.4477  500
6	    -5.09969        5.3208   -0.00780232        3.7076       13.7464  600
7	    -4.95968        4.6119   -0.00621531       3.30403       10.9166  700
8	    -4.24931       4.49348   -0.00528951        2.9524       8.71668  800
9	    -4.26102       3.99342   -0.00410724       2.65372       7.04222  900
10	    -3.58309       3.62322   -0.00338492       2.39387       5.73064  1000
11	    -3.59139       3.38536   -0.00277885       2.18019       4.75323  1100
12	    -3.03021       3.17085   -0.00215882       1.99375       3.97506  1200
13	    -2.83451        2.8218   -0.00183533        1.8329       3.35951  1300
14	    -2.72217       2.76527   -0.00156762       1.69607       2.87666  1400
15	    -2.51999       2.54455   -0.00145159       1.57923       2.49396  1500
16	    -2.37272       2.35881   -0.00108121       1.47346       2.17109  1600
17	    -2.28836       2.34417   -0.00112179       1.38249       1.91128  1700
18	    -2.14794       2.12816  -0.000890557       1.30186       1.69483  1800
19	     -2.1232        2.1358  -0.000777785       1.23067       1.51456  1900
20	    -2.04044       1.98941  -0.000747047       1.16577       1.35902  2000
21	    -1.93281       1.96514  -0.000596375       1.10758       1.22673  2100
22	    -1.84647       1.91614  -0.000520415       1.05557       1.11422  2200
23	    -1.74611         1.865  -0.000570249       1.00668        1.0134  2300
24	    -1.82519       1.66854   -0.00054907      0.964096      0.929482  2400
25	     -1.6625        1.5803    -0.0004513        0.9236      0.853036  2500
26	    -1.56141       1.57145  -0.000351765      0.888055      0.788642  2600
27	    -1.57047       1.51936  -0.000411637      0.854414      0.730023  2700
28	    -1.43991        1.5113  -0.000364702       0.82263       0.67672  2800
29	    -1.47685       1.54378  -0.000379596      0.793923      0.630314  2900
30	    -1.41644       1.48807  -0.000362157      0.766956      0.588221  3000
